timeNs,timeSeconds,vehicleId,gatewayId,runtimeGatewayId,distanceMeters,coverageRadiusMeters,active,available,cellRegionId,bandwidthPoolId
7000000000,7,veh_0,rsu_central,rsu_1,3471.511896,300,false,false,region_central_degraded,pool_rsu_central
7000000000,7,veh_0,rsu_north,rsu_0,1341.851500,520,false,false,region_north_normal,pool_rsu_north
8000000000,8,veh_0,rsu_central,rsu_1,3436.463214,300,false,false,region_central_degraded,pool_rsu_central
8000000000,8,veh_0,rsu_north,rsu_0,1306.792505,520,false,false,region_north_normal,pool_rsu_north
9000000000,9,veh_0,rsu_central,rsu_1,3400.635488,300,false,false,region_central_degraded,pool_rsu_central
9000000000,9,veh_0,rsu_north,rsu_0,1270.954136,520,false,false,region_north_normal,pool_rsu_north
10000000000,10,veh_0,rsu_central,rsu_1,3365.236064,300,false,false,region_central_degraded,pool_rsu_central
10000000000,10,veh_0,rsu_north,rsu_0,1235.544105,520,false,false,region_north_normal,pool_rsu_north
11000000000,11,veh_0,rsu_central,rsu_1,3329.278714,300,false,false,region_central_degraded,pool_rsu_central
11000000000,11,veh_0,rsu_north,rsu_0,1199.575897,520,false,false,region_north_normal,pool_rsu_north
11000000000,11,veh_1,rsu_central,rsu_1,3471.998676,300,false,false,region_central_degraded,pool_rsu_central
11000000000,11,veh_1,rsu_north,rsu_0,1342.295634,520,false,false,region_north_normal,pool_rsu_north
12000000000,12,veh_0,rsu_central,rsu_1,3293.654513,300,false,false,region_central_degraded,pool_rsu_central
12000000000,12,veh_0,rsu_north,rsu_0,1163.940865,520,false,false,region_north_normal,pool_rsu_north
12000000000,12,veh_1,rsu_central,rsu_1,3436.319493,300,false,false,region_central_degraded,pool_rsu_central
12000000000,12,veh_1,rsu_north,rsu_0,1306.606318,520,false,false,region_north_normal,pool_rsu_north
13000000000,13,veh_0,rsu_central,rsu_1,3258.270920,300,false,false,region_central_degraded,pool_rsu_central
13000000000,13,veh_0,rsu_north,rsu_0,1128.549895,520,false,false,region_north_normal,pool_rsu_north
13000000000,13,veh_1,rsu_central,rsu_1,3400.747507,300,false,false,region_central_degraded,pool_rsu_central
13000000000,13,veh_1,rsu_north,rsu_0,1271.024183,520,false,false,region_north_normal,pool_rsu_north
14000000000,14,veh_0,rsu_central,rsu_1,3222.880301,300,false,false,region_central_degraded,pool_rsu_central
14000000000,14,veh_0,rsu_north,rsu_0,1093.152463,520,false,false,region_north_normal,pool_rsu_north
14000000000,14,veh_1,rsu_central,rsu_1,3365.352555,300,false,false,region_central_degraded,pool_rsu_central
14000000000,14,veh_1,rsu_north,rsu_0,1235.619100,520,false,false,region_north_normal,pool_rsu_north
15000000000,15,veh_0,rsu_central,rsu_1,3187.040333,300,false,false,region_central_degraded,pool_rsu_central
