timeNs,timeSeconds,vehicleId,latitude,longitude,projectedX,projectedY,speed,heading,active,projectionPolicy,projectionSource
7000000000,7,veh_0,52.6560022198442,13.569067123065468,7575.361708,8509.444803,34.82466244661715,186.33265938410221,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
8000000000,8,veh_0,52.65568818530395,13.569020171533026,7571.492373,8474.579023,35.08759377758484,186.33265938410452,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
9000000000,9,veh_0,52.65536716793438,13.568972176649016,7567.536999,8438.937975,35.867793266722,186.33265938410452,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
10000000000,10,veh_0,52.65504998546848,13.568924755768087,7563.628878,8403.722702,35.43930978522636,186.33265938410221,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
11000000000,11,veh_0,52.6547278010985,13.56887658773249,7559.659127,8367.952094,35.99817710604053,186.33265938410452,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
11000000000,11,veh_1,52.65600317758466,13.569114825884666,7578.590298,8509.487255,34.84471513260156,186.33353035528413,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
12000000000,12,veh_0,52.65440859890612,13.568828866205138,7555.726120,8332.512588,35.66497012538835,186.33265938411486,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
12000000000,12,veh_1,52.65568348599079,13.569067020158364,7574.650715,8473.993408,35.70392321095802,186.33353035528413,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
13000000000,13,veh_0,52.65409182548022,13.56877769723859,7551.565251,8297.347859,35.418059587026946,186.82898630358784,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
13000000000,13,veh_1,52.65536475210194,13.569019358299652,7570.722934,8438.605893,35.59696095442865,186.33353035528182,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
