timeNs,timeSeconds,candidateId,sourceVehicleId,executionNodeId,type,availableCpu,availableBandwidth,propagationDelaySeconds,regionalRadioDelaySeconds,nodeBaseDelaySeconds,bandwidthPoolId,gatewayId,runtimeGatewayId,cellRegionId,bandwidthMeasurementTimeSeconds,bandwidthAgeSeconds,uplinkResidualBandwidth,downlinkResidualBandwidth,bandwidthPolicy,bandwidthSource,bandwidthLookupPolicy,bucketBoundaryPolicy,propagationDelayPolicy
35000000000,35,edge_north_for_veh_1,veh_1,edge_north,EDGE,12000000000,39703760,0.085,0.08,0.005,pool_rsu_north,rsu_north,rsu_0,region_north_normal,34,1,39703760,59609400,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
35000000000,35,cloud_regional_for_veh_1,veh_1,cloud_regional,CLOUD,100000000000,39703760,0.28,0.08,0.2,pool_rsu_north,rsu_north,rsu_0,region_north_normal,34,1,39703760,59609400,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
36000000000,36,edge_north_for_veh_0,veh_0,edge_north,EDGE,12000000000,39661440,0.085,0.08,0.005,pool_rsu_north,rsu_north,rsu_0,region_north_normal,35,1,39661440,59553600,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
36000000000,36,cloud_regional_for_veh_0,veh_0,cloud_regional,CLOUD,100000000000,39661440,0.28,0.08,0.2,pool_rsu_north,rsu_north,rsu_0,region_north_normal,35,1,39661440,59553600,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
36000000000,36,edge_north_for_veh_1,veh_1,edge_north,EDGE,12000000000,39661440,0.085,0.08,0.005,pool_rsu_north,rsu_north,rsu_0,region_north_normal,35,1,39661440,59553600,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
36000000000,36,cloud_regional_for_veh_1,veh_1,cloud_regional,CLOUD,100000000000,39661440,0.28,0.08,0.2,pool_rsu_north,rsu_north,rsu_0,region_north_normal,35,1,39661440,59553600,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
37000000000,37,edge_north_for_veh_0,veh_0,edge_north,EDGE,12000000000,39661440,0.085,0.08,0.005,pool_rsu_north,rsu_north,rsu_0,region_north_normal,36,1,39661440,59553600,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
37000000000,37,cloud_regional_for_veh_0,veh_0,cloud_regional,CLOUD,100000000000,39661440,0.28,0.08,0.2,pool_rsu_north,rsu_north,rsu_0,region_north_normal,36,1,39661440,59553600,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
37000000000,37,edge_north_for_veh_1,veh_1,edge_north,EDGE,12000000000,39661440,0.085,0.08,0.005,pool_rsu_north,rsu_north,rsu_0,region_north_normal,36,1,39661440,59553600,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
37000000000,37,cloud_regional_for_veh_1,veh_1,cloud_regional,CLOUD,100000000000,39661440,0.28,0.08,0.2,pool_rsu_north,rsu_north,rsu_0,region_north_normal,36,1,39661440,59553600,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
38000000000,38,edge_north_for_veh_0,veh_0,edge_north,EDGE,12000000000,39661440,0.085,0.08,0.005,pool_rsu_north,rsu_north,rsu_0,region_north_normal,37,1,39661440,59553600,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
38000000000,38,cloud_regional_for_veh_0,veh_0,cloud_regional,CLOUD,100000000000,39661440,0.28,0.08,0.2,pool_rsu_north,rsu_north,rsu_0,region_north_normal,37,1,39661440,59553600,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
38000000000,38,edge_north_for_veh_1,veh_1,edge_north,EDGE,12000000000,39661440,0.085,0.08,0.005,pool_rsu_north,rsu_north,rsu_0,region_north_normal,37,1,39661440,59553600,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
38000000000,38,cloud_regional_for_veh_1,veh_1,cloud_regional,CLOUD,100000000000,39661440,0.28,0.08,0.2,pool_rsu_north,rsu_north,rsu_0,region_north_normal,37,1,39661440,59553600,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
