measurementTimeSeconds,availableFromTimeSeconds,bucketStartSeconds,bucketEndSeconds,regionId,direction,trafficObservedBitsPerSecond,nominalCapacityBitsPerSecond,residualCapacityBitsPerSecond,residualPolicy,bucketBoundaryPolicy,availableFromPolicy,sourceFile
2,3,2,3,region_central_degraded,UPLINK,0,8000000,8000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
2,3,2,3,region_north_normal,DOWNLINK,0,60000000,60000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
2,3,2,3,region_north_normal,UPLINK,0,40000000,40000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
3,4,3,4,globalNetwork,DOWNLINK,0,42200000,42200000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
3,4,3,4,globalNetwork,UPLINK,0,28000000,28000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
3,4,3,4,region_central_degraded,DOWNLINK,0,12000000,12000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
3,4,3,4,region_central_degraded,UPLINK,0,8000000,8000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
3,4,3,4,region_north_normal,DOWNLINK,0,60000000,60000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
3,4,3,4,region_north_normal,UPLINK,0,40000000,40000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
4,5,4,5,globalNetwork,DOWNLINK,0,42200000,42200000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
4,5,4,5,globalNetwork,UPLINK,0,28000000,28000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
4,5,4,5,region_central_degraded,DOWNLINK,0,12000000,12000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
4,5,4,5,region_central_degraded,UPLINK,0,8000000,8000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
4,5,4,5,region_north_normal,DOWNLINK,0,60000000,60000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
4,5,4,5,region_north_normal,UPLINK,0,40000000,40000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
5,6,5,6,globalNetwork,DOWNLINK,0,42200000,42200000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
5,6,5,6,globalNetwork,UPLINK,0,28000000,28000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
5,6,5,6,region_central_degraded,DOWNLINK,0,12000000,12000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
5,6,5,6,region_central_degraded,UPLINK,0,8000000,8000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
5,6,5,6,region_north_normal,DOWNLINK,0,60000000,60000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
5,6,5,6,region_north_normal,UPLINK,0,40000000,40000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
6,7,6,7,globalNetwork,DOWNLINK,0,42200000,42200000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
6,7,6,7,globalNetwork,UPLINK,0,28000000,28000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
6,7,6,7,region_central_degraded,DOWNLINK,0,12000000,12000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
6,7,6,7,region_central_degraded,UPLINK,0,8000000,8000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
6,7,6,7,region_north_normal,DOWNLINK,0,60000000,60000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
6,7,6,7,region_north_normal,UPLINK,0,40000000,40000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
7,8,7,8,globalNetwork,DOWNLINK,0,42200000,42200000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
7,8,7,8,globalNetwork,UPLINK,0,28000000,28000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Up.csv
7,8,7,8,region_central_degraded,DOWNLINK,0,12000000,12000000,NOMINAL_MINUS_OBSERVED_DIAGNOSTIC,START_TIMESTAMP_FOR_INTERVAL,SAFE_AFTER_TIMESTAMP,tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv
