taskId,sourceVehicleId,profileId,activationTimeNs,activationTimeMs,inputSizeBits,outputSizeBits,cpuCycles,deadlineSeconds
cooperative_awareness__veh_8__t_56000,veh_8,cooperative_awareness,56000000000,56000,512000,16000,800000000,0.75
perception_light__veh_0__t_57000,veh_0,perception_light,57000000000,57000,8000000,64000,1500000000,0.5
perception_light__veh_10__t_57000,veh_10,perception_light,57000000000,57000,8000000,64000,1500000000,0.5
perception_light__veh_5__t_57000,veh_5,perception_light,57000000000,57000,8000000,64000,1500000000,0.5
planning_medium__veh_0__t_58000,veh_0,planning_medium,58000000000,58000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_1__t_58000,veh_1,cooperative_awareness,58000000000,58000,512000,16000,800000000,0.75
planning_medium__veh_10__t_58000,veh_10,planning_medium,58000000000,58000,2000000,32000,3000000000,1.0
perception_light__veh_4__t_58000,veh_4,perception_light,58000000000,58000,8000000,64000,1500000000,0.5
planning_medium__veh_5__t_58000,veh_5,planning_medium,58000000000,58000,2000000,32000,3000000000,1.0
perception_light__veh_9__t_58000,veh_9,perception_light,58000000000,58000,8000000,64000,1500000000,0.5
perception_light__veh_3__t_59000,veh_3,perception_light,59000000000,59000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_5__t_59000,veh_5,cooperative_awareness,59000000000,59000,512000,16000,800000000,0.75
perception_light__veh_8__t_59000,veh_8,perception_light,59000000000,59000,8000000,64000,1500000000,0.5
perception_light__veh_2__t_60000,veh_2,perception_light,60000000000,60000,8000000,64000,1500000000,0.5
planning_medium__veh_3__t_60000,veh_3,planning_medium,60000000000,60000,2000000,32000,3000000000,1.0
perception_light__veh_7__t_60000,veh_7,perception_light,60000000000,60000,8000000,64000,1500000000,0.5
planning_medium__veh_8__t_60000,veh_8,planning_medium,60000000000,60000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_9__t_60000,veh_9,cooperative_awareness,60000000000,60000,512000,16000,800000000,0.75
perception_light__veh_1__t_61000,veh_1,perception_light,61000000000,61000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_61000,veh_11,perception_light,61000000000,61000,8000000,64000,1500000000,0.5
perception_light__veh_6__t_61000,veh_6,perception_light,61000000000,61000,8000000,64000,1500000000,0.5
perception_light__veh_0__t_62000,veh_0,perception_light,62000000000,62000,8000000,64000,1500000000,0.5
planning_medium__veh_1__t_62000,veh_1,planning_medium,62000000000,62000,2000000,32000,3000000000,1.0
perception_light__veh_10__t_62000,veh_10,perception_light,62000000000,62000,8000000,64000,1500000000,0.5
planning_medium__veh_11__t_62000,veh_11,planning_medium,62000000000,62000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_2__t_62000,veh_2,cooperative_awareness,62000000000,62000,512000,16000,800000000,0.75
perception_light__veh_5__t_62000,veh_5,perception_light,62000000000,62000,8000000,64000,1500000000,0.5
planning_medium__veh_6__t_62000,veh_6,planning_medium,62000000000,62000,2000000,32000,3000000000,1.0
perception_light__veh_4__t_63000,veh_4,perception_light,63000000000,63000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_6__t_63000,veh_6,cooperative_awareness,63000000000,63000,512000,16000,800000000,0.75
perception_light__veh_9__t_63000,veh_9,perception_light,63000000000,63000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_10__t_64000,veh_10,cooperative_awareness,64000000000,64000,512000,16000,800000000,0.75
perception_light__veh_3__t_64000,veh_3,perception_light,64000000000,64000,8000000,64000,1500000000,0.5
planning_medium__veh_4__t_64000,veh_4,planning_medium,64000000000,64000,2000000,32000,3000000000,1.0
perception_light__veh_8__t_64000,veh_8,perception_light,64000000000,64000,8000000,64000,1500000000,0.5
planning_medium__veh_9__t_64000,veh_9,planning_medium,64000000000,64000,2000000,32000,3000000000,1.0
perception_light__veh_2__t_65000,veh_2,perception_light,65000000000,65000,8000000,64000,1500000000,0.5
perception_light__veh_7__t_65000,veh_7,perception_light,65000000000,65000,8000000,64000,1500000000,0.5
perception_light__veh_1__t_66000,veh_1,perception_light,66000000000,66000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_66000,veh_11,perception_light,66000000000,66000,8000000,64000,1500000000,0.5
planning_medium__veh_2__t_66000,veh_2,planning_medium,66000000000,66000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_3__t_66000,veh_3,cooperative_awareness,66000000000,66000,512000,16000,800000000,0.75
perception_light__veh_6__t_66000,veh_6,perception_light,66000000000,66000,8000000,64000,1500000000,0.5
planning_medium__veh_7__t_66000,veh_7,planning_medium,66000000000,66000,2000000,32000,3000000000,1.0
perception_light__veh_0__t_67000,veh_0,perception_light,67000000000,67000,8000000,64000,1500000000,0.5
perception_light__veh_10__t_67000,veh_10,perception_light,67000000000,67000,8000000,64000,1500000000,0.5
perception_light__veh_5__t_67000,veh_5,perception_light,67000000000,67000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_7__t_67000,veh_7,cooperative_awareness,67000000000,67000,512000,16000,800000000,0.75
planning_medium__veh_0__t_68000,veh_0,planning_medium,68000000000,68000,2000000,32000,3000000000,1.0
planning_medium__veh_10__t_68000,veh_10,planning_medium,68000000000,68000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_11__t_68000,veh_11,cooperative_awareness,68000000000,68000,512000,16000,800000000,0.75
perception_light__veh_4__t_68000,veh_4,perception_light,68000000000,68000,8000000,64000,1500000000,0.5
planning_medium__veh_5__t_68000,veh_5,planning_medium,68000000000,68000,2000000,32000,3000000000,1.0
perception_light__veh_9__t_68000,veh_9,perception_light,68000000000,68000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_0__t_69000,veh_0,cooperative_awareness,69000000000,69000,512000,16000,800000000,0.75
perception_light__veh_3__t_69000,veh_3,perception_light,69000000000,69000,8000000,64000,1500000000,0.5
perception_light__veh_8__t_69000,veh_8,perception_light,69000000000,69000,8000000,64000,1500000000,0.5
perception_light__veh_2__t_70000,veh_2,perception_light,70000000000,70000,8000000,64000,1500000000,0.5
planning_medium__veh_3__t_70000,veh_3,planning_medium,70000000000,70000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_4__t_70000,veh_4,cooperative_awareness,70000000000,70000,512000,16000,800000000,0.75
perception_light__veh_7__t_70000,veh_7,perception_light,70000000000,70000,8000000,64000,1500000000,0.5
planning_medium__veh_8__t_70000,veh_8,planning_medium,70000000000,70000,2000000,32000,3000000000,1.0
perception_light__veh_1__t_71000,veh_1,perception_light,71000000000,71000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_71000,veh_11,perception_light,71000000000,71000,8000000,64000,1500000000,0.5
perception_light__veh_6__t_71000,veh_6,perception_light,71000000000,71000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_8__t_71000,veh_8,cooperative_awareness,71000000000,71000,512000,16000,800000000,0.75
perception_light__veh_0__t_72000,veh_0,perception_light,72000000000,72000,8000000,64000,1500000000,0.5
planning_medium__veh_1__t_72000,veh_1,planning_medium,72000000000,72000,2000000,32000,3000000000,1.0
perception_light__veh_10__t_72000,veh_10,perception_light,72000000000,72000,8000000,64000,1500000000,0.5
planning_medium__veh_11__t_72000,veh_11,planning_medium,72000000000,72000,2000000,32000,3000000000,1.0
perception_light__veh_5__t_72000,veh_5,perception_light,72000000000,72000,8000000,64000,1500000000,0.5
planning_medium__veh_6__t_72000,veh_6,planning_medium,72000000000,72000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_1__t_73000,veh_1,cooperative_awareness,73000000000,73000,512000,16000,800000000,0.75
perception_light__veh_4__t_73000,veh_4,perception_light,73000000000,73000,8000000,64000,1500000000,0.5
perception_light__veh_9__t_73000,veh_9,perception_light,73000000000,73000,8000000,64000,1500000000,0.5
perception_light__veh_3__t_74000,veh_3,perception_light,74000000000,74000,8000000,64000,1500000000,0.5
planning_medium__veh_4__t_74000,veh_4,planning_medium,74000000000,74000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_5__t_74000,veh_5,cooperative_awareness,74000000000,74000,512000,16000,800000000,0.75
perception_light__veh_8__t_74000,veh_8,perception_light,74000000000,74000,8000000,64000,1500000000,0.5
planning_medium__veh_9__t_74000,veh_9,planning_medium,74000000000,74000,2000000,32000,3000000000,1.0
perception_light__veh_2__t_75000,veh_2,perception_light,75000000000,75000,8000000,64000,1500000000,0.5
perception_light__veh_7__t_75000,veh_7,perception_light,75000000000,75000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_9__t_75000,veh_9,cooperative_awareness,75000000000,75000,512000,16000,800000000,0.75
perception_light__veh_1__t_76000,veh_1,perception_light,76000000000,76000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_76000,veh_11,perception_light,76000000000,76000,8000000,64000,1500000000,0.5
planning_medium__veh_2__t_76000,veh_2,planning_medium,76000000000,76000,2000000,32000,3000000000,1.0
perception_light__veh_6__t_76000,veh_6,perception_light,76000000000,76000,8000000,64000,1500000000,0.5
planning_medium__veh_7__t_76000,veh_7,planning_medium,76000000000,76000,2000000,32000,3000000000,1.0
perception_light__veh_0__t_77000,veh_0,perception_light,77000000000,77000,8000000,64000,1500000000,0.5
perception_light__veh_10__t_77000,veh_10,perception_light,77000000000,77000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_2__t_77000,veh_2,cooperative_awareness,77000000000,77000,512000,16000,800000000,0.75
perception_light__veh_5__t_77000,veh_5,perception_light,77000000000,77000,8000000,64000,1500000000,0.5
planning_medium__veh_0__t_78000,veh_0,planning_medium,78000000000,78000,2000000,32000,3000000000,1.0
planning_medium__veh_10__t_78000,veh_10,planning_medium,78000000000,78000,2000000,32000,3000000000,1.0
perception_light__veh_4__t_78000,veh_4,perception_light,78000000000,78000,8000000,64000,1500000000,0.5
planning_medium__veh_5__t_78000,veh_5,planning_medium,78000000000,78000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_6__t_78000,veh_6,cooperative_awareness,78000000000,78000,512000,16000,800000000,0.75
perception_light__veh_9__t_78000,veh_9,perception_light,78000000000,78000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_10__t_79000,veh_10,cooperative_awareness,79000000000,79000,512000,16000,800000000,0.75
perception_light__veh_3__t_79000,veh_3,perception_light,79000000000,79000,8000000,64000,1500000000,0.5
perception_light__veh_8__t_79000,veh_8,perception_light,79000000000,79000,8000000,64000,1500000000,0.5
perception_light__veh_2__t_80000,veh_2,perception_light,80000000000,80000,8000000,64000,1500000000,0.5
planning_medium__veh_3__t_80000,veh_3,planning_medium,80000000000,80000,2000000,32000,3000000000,1.0
perception_light__veh_7__t_80000,veh_7,perception_light,80000000000,80000,8000000,64000,1500000000,0.5
planning_medium__veh_8__t_80000,veh_8,planning_medium,80000000000,80000,2000000,32000,3000000000,1.0
perception_light__veh_1__t_81000,veh_1,perception_light,81000000000,81000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_81000,veh_11,perception_light,81000000000,81000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_3__t_81000,veh_3,cooperative_awareness,81000000000,81000,512000,16000,800000000,0.75
perception_light__veh_6__t_81000,veh_6,perception_light,81000000000,81000,8000000,64000,1500000000,0.5
perception_light__veh_0__t_82000,veh_0,perception_light,82000000000,82000,8000000,64000,1500000000,0.5
planning_medium__veh_1__t_82000,veh_1,planning_medium,82000000000,82000,2000000,32000,3000000000,1.0
perception_light__veh_10__t_82000,veh_10,perception_light,82000000000,82000,8000000,64000,1500000000,0.5
planning_medium__veh_11__t_82000,veh_11,planning_medium,82000000000,82000,2000000,32000,3000000000,1.0
perception_light__veh_5__t_82000,veh_5,perception_light,82000000000,82000,8000000,64000,1500000000,0.5
planning_medium__veh_6__t_82000,veh_6,planning_medium,82000000000,82000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_7__t_82000,veh_7,cooperative_awareness,82000000000,82000,512000,16000,800000000,0.75
cooperative_awareness__veh_11__t_83000,veh_11,cooperative_awareness,83000000000,83000,512000,16000,800000000,0.75
perception_light__veh_4__t_83000,veh_4,perception_light,83000000000,83000,8000000,64000,1500000000,0.5
perception_light__veh_9__t_83000,veh_9,perception_light,83000000000,83000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_0__t_84000,veh_0,cooperative_awareness,84000000000,84000,512000,16000,800000000,0.75
perception_light__veh_3__t_84000,veh_3,perception_light,84000000000,84000,8000000,64000,1500000000,0.5
planning_medium__veh_4__t_84000,veh_4,planning_medium,84000000000,84000,2000000,32000,3000000000,1.0
perception_light__veh_8__t_84000,veh_8,perception_light,84000000000,84000,8000000,64000,1500000000,0.5
planning_medium__veh_9__t_84000,veh_9,planning_medium,84000000000,84000,2000000,32000,3000000000,1.0
perception_light__veh_2__t_85000,veh_2,perception_light,85000000000,85000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_4__t_85000,veh_4,cooperative_awareness,85000000000,85000,512000,16000,800000000,0.75
perception_light__veh_7__t_85000,veh_7,perception_light,85000000000,85000,8000000,64000,1500000000,0.5
perception_light__veh_1__t_86000,veh_1,perception_light,86000000000,86000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_86000,veh_11,perception_light,86000000000,86000,8000000,64000,1500000000,0.5
planning_medium__veh_2__t_86000,veh_2,planning_medium,86000000000,86000,2000000,32000,3000000000,1.0
perception_light__veh_6__t_86000,veh_6,perception_light,86000000000,86000,8000000,64000,1500000000,0.5
planning_medium__veh_7__t_86000,veh_7,planning_medium,86000000000,86000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_8__t_86000,veh_8,cooperative_awareness,86000000000,86000,512000,16000,800000000,0.75
perception_light__veh_0__t_87000,veh_0,perception_light,87000000000,87000,8000000,64000,1500000000,0.5
perception_light__veh_10__t_87000,veh_10,perception_light,87000000000,87000,8000000,64000,1500000000,0.5
perception_light__veh_5__t_87000,veh_5,perception_light,87000000000,87000,8000000,64000,1500000000,0.5
planning_medium__veh_0__t_88000,veh_0,planning_medium,88000000000,88000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_1__t_88000,veh_1,cooperative_awareness,88000000000,88000,512000,16000,800000000,0.75
planning_medium__veh_10__t_88000,veh_10,planning_medium,88000000000,88000,2000000,32000,3000000000,1.0
perception_light__veh_4__t_88000,veh_4,perception_light,88000000000,88000,8000000,64000,1500000000,0.5
planning_medium__veh_5__t_88000,veh_5,planning_medium,88000000000,88000,2000000,32000,3000000000,1.0
perception_light__veh_9__t_88000,veh_9,perception_light,88000000000,88000,8000000,64000,1500000000,0.5
perception_light__veh_3__t_89000,veh_3,perception_light,89000000000,89000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_5__t_89000,veh_5,cooperative_awareness,89000000000,89000,512000,16000,800000000,0.75
perception_light__veh_8__t_89000,veh_8,perception_light,89000000000,89000,8000000,64000,1500000000,0.5
perception_light__veh_2__t_90000,veh_2,perception_light,90000000000,90000,8000000,64000,1500000000,0.5
planning_medium__veh_3__t_90000,veh_3,planning_medium,90000000000,90000,2000000,32000,3000000000,1.0
perception_light__veh_7__t_90000,veh_7,perception_light,90000000000,90000,8000000,64000,1500000000,0.5
planning_medium__veh_8__t_90000,veh_8,planning_medium,90000000000,90000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_9__t_90000,veh_9,cooperative_awareness,90000000000,90000,512000,16000,800000000,0.75
perception_light__veh_1__t_91000,veh_1,perception_light,91000000000,91000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_91000,veh_11,perception_light,91000000000,91000,8000000,64000,1500000000,0.5
perception_light__veh_6__t_91000,veh_6,perception_light,91000000000,91000,8000000,64000,1500000000,0.5
perception_light__veh_0__t_92000,veh_0,perception_light,92000000000,92000,8000000,64000,1500000000,0.5
planning_medium__veh_1__t_92000,veh_1,planning_medium,92000000000,92000,2000000,32000,3000000000,1.0
perception_light__veh_10__t_92000,veh_10,perception_light,92000000000,92000,8000000,64000,1500000000,0.5
planning_medium__veh_11__t_92000,veh_11,planning_medium,92000000000,92000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_2__t_92000,veh_2,cooperative_awareness,92000000000,92000,512000,16000,800000000,0.75
perception_light__veh_5__t_92000,veh_5,perception_light,92000000000,92000,8000000,64000,1500000000,0.5
planning_medium__veh_6__t_92000,veh_6,planning_medium,92000000000,92000,2000000,32000,3000000000,1.0
perception_light__veh_4__t_93000,veh_4,perception_light,93000000000,93000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_6__t_93000,veh_6,cooperative_awareness,93000000000,93000,512000,16000,800000000,0.75
perception_light__veh_9__t_93000,veh_9,perception_light,93000000000,93000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_10__t_94000,veh_10,cooperative_awareness,94000000000,94000,512000,16000,800000000,0.75
perception_light__veh_3__t_94000,veh_3,perception_light,94000000000,94000,8000000,64000,1500000000,0.5
planning_medium__veh_4__t_94000,veh_4,planning_medium,94000000000,94000,2000000,32000,3000000000,1.0
perception_light__veh_8__t_94000,veh_8,perception_light,94000000000,94000,8000000,64000,1500000000,0.5
planning_medium__veh_9__t_94000,veh_9,planning_medium,94000000000,94000,2000000,32000,3000000000,1.0
perception_light__veh_2__t_95000,veh_2,perception_light,95000000000,95000,8000000,64000,1500000000,0.5
perception_light__veh_7__t_95000,veh_7,perception_light,95000000000,95000,8000000,64000,1500000000,0.5
perception_light__veh_1__t_96000,veh_1,perception_light,96000000000,96000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_96000,veh_11,perception_light,96000000000,96000,8000000,64000,1500000000,0.5
planning_medium__veh_2__t_96000,veh_2,planning_medium,96000000000,96000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_3__t_96000,veh_3,cooperative_awareness,96000000000,96000,512000,16000,800000000,0.75
perception_light__veh_6__t_96000,veh_6,perception_light,96000000000,96000,8000000,64000,1500000000,0.5
planning_medium__veh_7__t_96000,veh_7,planning_medium,96000000000,96000,2000000,32000,3000000000,1.0
perception_light__veh_0__t_97000,veh_0,perception_light,97000000000,97000,8000000,64000,1500000000,0.5
perception_light__veh_10__t_97000,veh_10,perception_light,97000000000,97000,8000000,64000,1500000000,0.5
perception_light__veh_5__t_97000,veh_5,perception_light,97000000000,97000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_7__t_97000,veh_7,cooperative_awareness,97000000000,97000,512000,16000,800000000,0.75
planning_medium__veh_0__t_98000,veh_0,planning_medium,98000000000,98000,2000000,32000,3000000000,1.0
planning_medium__veh_10__t_98000,veh_10,planning_medium,98000000000,98000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_11__t_98000,veh_11,cooperative_awareness,98000000000,98000,512000,16000,800000000,0.75
perception_light__veh_4__t_98000,veh_4,perception_light,98000000000,98000,8000000,64000,1500000000,0.5
planning_medium__veh_5__t_98000,veh_5,planning_medium,98000000000,98000,2000000,32000,3000000000,1.0
perception_light__veh_9__t_98000,veh_9,perception_light,98000000000,98000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_0__t_99000,veh_0,cooperative_awareness,99000000000,99000,512000,16000,800000000,0.75
perception_light__veh_3__t_99000,veh_3,perception_light,99000000000,99000,8000000,64000,1500000000,0.5
perception_light__veh_8__t_99000,veh_8,perception_light,99000000000,99000,8000000,64000,1500000000,0.5
perception_light__veh_2__t_100000,veh_2,perception_light,100000000000,100000,8000000,64000,1500000000,0.5
planning_medium__veh_3__t_100000,veh_3,planning_medium,100000000000,100000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_4__t_100000,veh_4,cooperative_awareness,100000000000,100000,512000,16000,800000000,0.75
perception_light__veh_7__t_100000,veh_7,perception_light,100000000000,100000,8000000,64000,1500000000,0.5
planning_medium__veh_8__t_100000,veh_8,planning_medium,100000000000,100000,2000000,32000,3000000000,1.0
perception_light__veh_1__t_101000,veh_1,perception_light,101000000000,101000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_101000,veh_11,perception_light,101000000000,101000,8000000,64000,1500000000,0.5
perception_light__veh_6__t_101000,veh_6,perception_light,101000000000,101000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_8__t_101000,veh_8,cooperative_awareness,101000000000,101000,512000,16000,800000000,0.75
perception_light__veh_0__t_102000,veh_0,perception_light,102000000000,102000,8000000,64000,1500000000,0.5
planning_medium__veh_1__t_102000,veh_1,planning_medium,102000000000,102000,2000000,32000,3000000000,1.0
perception_light__veh_10__t_102000,veh_10,perception_light,102000000000,102000,8000000,64000,1500000000,0.5
planning_medium__veh_11__t_102000,veh_11,planning_medium,102000000000,102000,2000000,32000,3000000000,1.0
perception_light__veh_5__t_102000,veh_5,perception_light,102000000000,102000,8000000,64000,1500000000,0.5
planning_medium__veh_6__t_102000,veh_6,planning_medium,102000000000,102000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_1__t_103000,veh_1,cooperative_awareness,103000000000,103000,512000,16000,800000000,0.75
perception_light__veh_4__t_103000,veh_4,perception_light,103000000000,103000,8000000,64000,1500000000,0.5
perception_light__veh_9__t_103000,veh_9,perception_light,103000000000,103000,8000000,64000,1500000000,0.5
perception_light__veh_3__t_104000,veh_3,perception_light,104000000000,104000,8000000,64000,1500000000,0.5
planning_medium__veh_4__t_104000,veh_4,planning_medium,104000000000,104000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_5__t_104000,veh_5,cooperative_awareness,104000000000,104000,512000,16000,800000000,0.75
perception_light__veh_8__t_104000,veh_8,perception_light,104000000000,104000,8000000,64000,1500000000,0.5
planning_medium__veh_9__t_104000,veh_9,planning_medium,104000000000,104000,2000000,32000,3000000000,1.0
perception_light__veh_2__t_105000,veh_2,perception_light,105000000000,105000,8000000,64000,1500000000,0.5
perception_light__veh_7__t_105000,veh_7,perception_light,105000000000,105000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_9__t_105000,veh_9,cooperative_awareness,105000000000,105000,512000,16000,800000000,0.75
perception_light__veh_1__t_106000,veh_1,perception_light,106000000000,106000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_106000,veh_11,perception_light,106000000000,106000,8000000,64000,1500000000,0.5
planning_medium__veh_2__t_106000,veh_2,planning_medium,106000000000,106000,2000000,32000,3000000000,1.0
perception_light__veh_6__t_106000,veh_6,perception_light,106000000000,106000,8000000,64000,1500000000,0.5
planning_medium__veh_7__t_106000,veh_7,planning_medium,106000000000,106000,2000000,32000,3000000000,1.0
perception_light__veh_0__t_107000,veh_0,perception_light,107000000000,107000,8000000,64000,1500000000,0.5
perception_light__veh_10__t_107000,veh_10,perception_light,107000000000,107000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_2__t_107000,veh_2,cooperative_awareness,107000000000,107000,512000,16000,800000000,0.75
perception_light__veh_5__t_107000,veh_5,perception_light,107000000000,107000,8000000,64000,1500000000,0.5
planning_medium__veh_0__t_108000,veh_0,planning_medium,108000000000,108000,2000000,32000,3000000000,1.0
planning_medium__veh_10__t_108000,veh_10,planning_medium,108000000000,108000,2000000,32000,3000000000,1.0
perception_light__veh_4__t_108000,veh_4,perception_light,108000000000,108000,8000000,64000,1500000000,0.5
planning_medium__veh_5__t_108000,veh_5,planning_medium,108000000000,108000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_6__t_108000,veh_6,cooperative_awareness,108000000000,108000,512000,16000,800000000,0.75
perception_light__veh_9__t_108000,veh_9,perception_light,108000000000,108000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_10__t_109000,veh_10,cooperative_awareness,109000000000,109000,512000,16000,800000000,0.75
perception_light__veh_3__t_109000,veh_3,perception_light,109000000000,109000,8000000,64000,1500000000,0.5
perception_light__veh_8__t_109000,veh_8,perception_light,109000000000,109000,8000000,64000,1500000000,0.5
perception_light__veh_2__t_110000,veh_2,perception_light,110000000000,110000,8000000,64000,1500000000,0.5
planning_medium__veh_3__t_110000,veh_3,planning_medium,110000000000,110000,2000000,32000,3000000000,1.0
perception_light__veh_7__t_110000,veh_7,perception_light,110000000000,110000,8000000,64000,1500000000,0.5
planning_medium__veh_8__t_110000,veh_8,planning_medium,110000000000,110000,2000000,32000,3000000000,1.0
perception_light__veh_1__t_111000,veh_1,perception_light,111000000000,111000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_111000,veh_11,perception_light,111000000000,111000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_3__t_111000,veh_3,cooperative_awareness,111000000000,111000,512000,16000,800000000,0.75
perception_light__veh_6__t_111000,veh_6,perception_light,111000000000,111000,8000000,64000,1500000000,0.5
perception_light__veh_0__t_112000,veh_0,perception_light,112000000000,112000,8000000,64000,1500000000,0.5
planning_medium__veh_1__t_112000,veh_1,planning_medium,112000000000,112000,2000000,32000,3000000000,1.0
perception_light__veh_10__t_112000,veh_10,perception_light,112000000000,112000,8000000,64000,1500000000,0.5
planning_medium__veh_11__t_112000,veh_11,planning_medium,112000000000,112000,2000000,32000,3000000000,1.0
perception_light__veh_5__t_112000,veh_5,perception_light,112000000000,112000,8000000,64000,1500000000,0.5
planning_medium__veh_6__t_112000,veh_6,planning_medium,112000000000,112000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_7__t_112000,veh_7,cooperative_awareness,112000000000,112000,512000,16000,800000000,0.75
cooperative_awareness__veh_11__t_113000,veh_11,cooperative_awareness,113000000000,113000,512000,16000,800000000,0.75
perception_light__veh_4__t_113000,veh_4,perception_light,113000000000,113000,8000000,64000,1500000000,0.5
perception_light__veh_9__t_113000,veh_9,perception_light,113000000000,113000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_0__t_114000,veh_0,cooperative_awareness,114000000000,114000,512000,16000,800000000,0.75
perception_light__veh_3__t_114000,veh_3,perception_light,114000000000,114000,8000000,64000,1500000000,0.5
planning_medium__veh_4__t_114000,veh_4,planning_medium,114000000000,114000,2000000,32000,3000000000,1.0
perception_light__veh_8__t_114000,veh_8,perception_light,114000000000,114000,8000000,64000,1500000000,0.5
planning_medium__veh_9__t_114000,veh_9,planning_medium,114000000000,114000,2000000,32000,3000000000,1.0
perception_light__veh_2__t_115000,veh_2,perception_light,115000000000,115000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_4__t_115000,veh_4,cooperative_awareness,115000000000,115000,512000,16000,800000000,0.75
perception_light__veh_7__t_115000,veh_7,perception_light,115000000000,115000,8000000,64000,1500000000,0.5
perception_light__veh_1__t_116000,veh_1,perception_light,116000000000,116000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_116000,veh_11,perception_light,116000000000,116000,8000000,64000,1500000000,0.5
planning_medium__veh_2__t_116000,veh_2,planning_medium,116000000000,116000,2000000,32000,3000000000,1.0
perception_light__veh_6__t_116000,veh_6,perception_light,116000000000,116000,8000000,64000,1500000000,0.5
planning_medium__veh_7__t_116000,veh_7,planning_medium,116000000000,116000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_8__t_116000,veh_8,cooperative_awareness,116000000000,116000,512000,16000,800000000,0.75
perception_light__veh_0__t_117000,veh_0,perception_light,117000000000,117000,8000000,64000,1500000000,0.5
perception_light__veh_10__t_117000,veh_10,perception_light,117000000000,117000,8000000,64000,1500000000,0.5
perception_light__veh_5__t_117000,veh_5,perception_light,117000000000,117000,8000000,64000,1500000000,0.5
planning_medium__veh_0__t_118000,veh_0,planning_medium,118000000000,118000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_1__t_118000,veh_1,cooperative_awareness,118000000000,118000,512000,16000,800000000,0.75
planning_medium__veh_10__t_118000,veh_10,planning_medium,118000000000,118000,2000000,32000,3000000000,1.0
perception_light__veh_4__t_118000,veh_4,perception_light,118000000000,118000,8000000,64000,1500000000,0.5
planning_medium__veh_5__t_118000,veh_5,planning_medium,118000000000,118000,2000000,32000,3000000000,1.0
perception_light__veh_9__t_118000,veh_9,perception_light,118000000000,118000,8000000,64000,1500000000,0.5
perception_light__veh_3__t_119000,veh_3,perception_light,119000000000,119000,8000000,64000,1500000000,0.5
