taskId,sourceVehicleId,profileId,activationTimeNs,activationTimeMs,inputSizeBits,outputSizeBits,cpuCycles,deadlineSeconds
cooperative_awareness__veh_5__t_164000,veh_5,cooperative_awareness,164000000000,164000,512000,16000,800000000,0.75
perception_light__veh_8__t_164000,veh_8,perception_light,164000000000,164000,8000000,64000,1500000000,0.5
planning_medium__veh_9__t_164000,veh_9,planning_medium,164000000000,164000,2000000,32000,3000000000,1.0
perception_light__veh_2__t_165000,veh_2,perception_light,165000000000,165000,8000000,64000,1500000000,0.5
perception_light__veh_7__t_165000,veh_7,perception_light,165000000000,165000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_9__t_165000,veh_9,cooperative_awareness,165000000000,165000,512000,16000,800000000,0.75
perception_light__veh_1__t_166000,veh_1,perception_light,166000000000,166000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_166000,veh_11,perception_light,166000000000,166000,8000000,64000,1500000000,0.5
planning_medium__veh_2__t_166000,veh_2,planning_medium,166000000000,166000,2000000,32000,3000000000,1.0
perception_light__veh_6__t_166000,veh_6,perception_light,166000000000,166000,8000000,64000,1500000000,0.5
planning_medium__veh_7__t_166000,veh_7,planning_medium,166000000000,166000,2000000,32000,3000000000,1.0
perception_light__veh_0__t_167000,veh_0,perception_light,167000000000,167000,8000000,64000,1500000000,0.5
perception_light__veh_10__t_167000,veh_10,perception_light,167000000000,167000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_2__t_167000,veh_2,cooperative_awareness,167000000000,167000,512000,16000,800000000,0.75
perception_light__veh_5__t_167000,veh_5,perception_light,167000000000,167000,8000000,64000,1500000000,0.5
planning_medium__veh_0__t_168000,veh_0,planning_medium,168000000000,168000,2000000,32000,3000000000,1.0
planning_medium__veh_10__t_168000,veh_10,planning_medium,168000000000,168000,2000000,32000,3000000000,1.0
perception_light__veh_4__t_168000,veh_4,perception_light,168000000000,168000,8000000,64000,1500000000,0.5
planning_medium__veh_5__t_168000,veh_5,planning_medium,168000000000,168000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_6__t_168000,veh_6,cooperative_awareness,168000000000,168000,512000,16000,800000000,0.75
perception_light__veh_9__t_168000,veh_9,perception_light,168000000000,168000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_10__t_169000,veh_10,cooperative_awareness,169000000000,169000,512000,16000,800000000,0.75
perception_light__veh_3__t_169000,veh_3,perception_light,169000000000,169000,8000000,64000,1500000000,0.5
perception_light__veh_8__t_169000,veh_8,perception_light,169000000000,169000,8000000,64000,1500000000,0.5
perception_light__veh_2__t_170000,veh_2,perception_light,170000000000,170000,8000000,64000,1500000000,0.5
planning_medium__veh_3__t_170000,veh_3,planning_medium,170000000000,170000,2000000,32000,3000000000,1.0
perception_light__veh_7__t_170000,veh_7,perception_light,170000000000,170000,8000000,64000,1500000000,0.5
planning_medium__veh_8__t_170000,veh_8,planning_medium,170000000000,170000,2000000,32000,3000000000,1.0
perception_light__veh_1__t_171000,veh_1,perception_light,171000000000,171000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_171000,veh_11,perception_light,171000000000,171000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_3__t_171000,veh_3,cooperative_awareness,171000000000,171000,512000,16000,800000000,0.75
perception_light__veh_6__t_171000,veh_6,perception_light,171000000000,171000,8000000,64000,1500000000,0.5
perception_light__veh_0__t_172000,veh_0,perception_light,172000000000,172000,8000000,64000,1500000000,0.5
planning_medium__veh_1__t_172000,veh_1,planning_medium,172000000000,172000,2000000,32000,3000000000,1.0
perception_light__veh_10__t_172000,veh_10,perception_light,172000000000,172000,8000000,64000,1500000000,0.5
planning_medium__veh_11__t_172000,veh_11,planning_medium,172000000000,172000,2000000,32000,3000000000,1.0
perception_light__veh_5__t_172000,veh_5,perception_light,172000000000,172000,8000000,64000,1500000000,0.5
planning_medium__veh_6__t_172000,veh_6,planning_medium,172000000000,172000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_7__t_172000,veh_7,cooperative_awareness,172000000000,172000,512000,16000,800000000,0.75
cooperative_awareness__veh_11__t_173000,veh_11,cooperative_awareness,173000000000,173000,512000,16000,800000000,0.75
perception_light__veh_4__t_173000,veh_4,perception_light,173000000000,173000,8000000,64000,1500000000,0.5
perception_light__veh_9__t_173000,veh_9,perception_light,173000000000,173000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_0__t_174000,veh_0,cooperative_awareness,174000000000,174000,512000,16000,800000000,0.75
perception_light__veh_3__t_174000,veh_3,perception_light,174000000000,174000,8000000,64000,1500000000,0.5
planning_medium__veh_4__t_174000,veh_4,planning_medium,174000000000,174000,2000000,32000,3000000000,1.0
perception_light__veh_8__t_174000,veh_8,perception_light,174000000000,174000,8000000,64000,1500000000,0.5
planning_medium__veh_9__t_174000,veh_9,planning_medium,174000000000,174000,2000000,32000,3000000000,1.0
perception_light__veh_2__t_175000,veh_2,perception_light,175000000000,175000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_4__t_175000,veh_4,cooperative_awareness,175000000000,175000,512000,16000,800000000,0.75
perception_light__veh_7__t_175000,veh_7,perception_light,175000000000,175000,8000000,64000,1500000000,0.5
perception_light__veh_1__t_176000,veh_1,perception_light,176000000000,176000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_176000,veh_11,perception_light,176000000000,176000,8000000,64000,1500000000,0.5
planning_medium__veh_2__t_176000,veh_2,planning_medium,176000000000,176000,2000000,32000,3000000000,1.0
perception_light__veh_6__t_176000,veh_6,perception_light,176000000000,176000,8000000,64000,1500000000,0.5
planning_medium__veh_7__t_176000,veh_7,planning_medium,176000000000,176000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_8__t_176000,veh_8,cooperative_awareness,176000000000,176000,512000,16000,800000000,0.75
perception_light__veh_0__t_177000,veh_0,perception_light,177000000000,177000,8000000,64000,1500000000,0.5
perception_light__veh_10__t_177000,veh_10,perception_light,177000000000,177000,8000000,64000,1500000000,0.5
perception_light__veh_5__t_177000,veh_5,perception_light,177000000000,177000,8000000,64000,1500000000,0.5
planning_medium__veh_0__t_178000,veh_0,planning_medium,178000000000,178000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_1__t_178000,veh_1,cooperative_awareness,178000000000,178000,512000,16000,800000000,0.75
planning_medium__veh_10__t_178000,veh_10,planning_medium,178000000000,178000,2000000,32000,3000000000,1.0
perception_light__veh_4__t_178000,veh_4,perception_light,178000000000,178000,8000000,64000,1500000000,0.5
planning_medium__veh_5__t_178000,veh_5,planning_medium,178000000000,178000,2000000,32000,3000000000,1.0
perception_light__veh_9__t_178000,veh_9,perception_light,178000000000,178000,8000000,64000,1500000000,0.5
perception_light__veh_3__t_179000,veh_3,perception_light,179000000000,179000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_5__t_179000,veh_5,cooperative_awareness,179000000000,179000,512000,16000,800000000,0.75
perception_light__veh_8__t_179000,veh_8,perception_light,179000000000,179000,8000000,64000,1500000000,0.5
perception_light__veh_2__t_180000,veh_2,perception_light,180000000000,180000,8000000,64000,1500000000,0.5
planning_medium__veh_3__t_180000,veh_3,planning_medium,180000000000,180000,2000000,32000,3000000000,1.0
perception_light__veh_7__t_180000,veh_7,perception_light,180000000000,180000,8000000,64000,1500000000,0.5
planning_medium__veh_8__t_180000,veh_8,planning_medium,180000000000,180000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_9__t_180000,veh_9,cooperative_awareness,180000000000,180000,512000,16000,800000000,0.75
