sourceFile,direction,timeRaw,regionId,trafficObservedRaw,unitStatus
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,9,region_north_normal,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,10,globalNetwork,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,10,region_central_degraded,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,10,region_north_normal,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,11,globalNetwork,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,11,region_central_degraded,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,11,region_north_normal,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,12,globalNetwork,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,12,region_central_degraded,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,12,region_north_normal,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,13,globalNetwork,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,13,region_central_degraded,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,13,region_north_normal,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,14,globalNetwork,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,14,region_central_degraded,0,UNRESOLVED
